County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Hampshire County, MA",25015.0,939.0,0.03,31.48,38.71,38.79,3368.85,26.71,10.91,46.72,33.22,939.0,0.03%,31.48,38.71,38.79,3368.85,26.71,10.91,46.72,33.22,25015
"Middlesex County, MA",25017.0,15343.0,0.43,32.52,38.64,38.8,3298.18,25.78,11.07,48.37,37.29,15343.0,0.43%,32.52,38.64,38.8,3298.18,25.78,11.07,48.37,37.29,25017
"Norfolk County, MA",25021.0,7101.0,0.2,32.82,38.57,38.77,3300.31,25.76,11.17,44.77,36.78,7101.0,0.20%,32.82,38.57,38.77,3300.31,25.76,11.17,44.77,36.78,25021
"Plymouth County, MA",25023.0,5376.0,0.15,31.61,38.52,38.66,3324.23,27.02,11.68,49.88,38.99,5376.0,0.15%,31.61,38.52,38.66,3324.23,27.02,11.68,49.88,38.99,25023
"Suffolk County, MA",25025.0,7976.0,0.22,31.6,38.55,38.7,3246.42,26.18,10.33,56.01,43.17,7976.0,0.22%,31.6,38.55,38.7,3246.42,26.18,10.33,56.01,43.17,25025
"Worcester County, MA",25027.0,8269.0,0.23,30.57,38.53,38.72,3306.04,27.5,11.42,50.16,38.77,8269.0,0.23%,30.57,38.53,38.72,3306.04,27.5,11.42,50.16,38.77,25027
"Unidentified Counties, MA",25999.0,843.0,0.02,31.49,38.78,38.82,3364.47,26.57,10.98,52.76,45.74,843.0,0.02%,31.49,38.78,38.82,3364.47,26.57,10.98,52.76,45.74,25999
"Allegan County, MI",26005.0,1206.0,0.03,28.7,38.49,38.66,3364.39,28.12,12.27,43.2,50.34,1206.0,0.03%,28.7,38.49,38.66,3364.39,28.12,12.27,43.2,50.34,26005
"Bay County, MI",26017.0,909.0,0.03,28.55,38.58,38.63,3314.23,29.44,12.88,47.26,38.89,909.0,0.03%,28.55,38.58,38.63,3314.23,29.44,12.88,47.26,38.89,26017
"Berrien County, MI",26021.0,1538.0,0.04,28.51,38.5,38.68,3280.34,28.34,11.2,46.56,53.82,1538.0,0.04%,28.51,38.5,38.68,3280.34,28.34,11.2,46.56,53.82,26021
"Calhoun County, MI",26025.0,1492.0,0.04,27.62,38.42,38.61,3236.04,28.27,10.74,45.29,52.1,1492.0,0.04%,27.62,38.42,38.61,3236.04,28.27,10.74,45.29,52.1,26025
"Eaton County, MI",26045.0,1071.0,0.03,28.52,38.5,38.74,3298.42,29.04,13.69,43.62,35.57,1071.0,0.03%,28.52,38.5,38.74,3298.42,29.04,13.69,43.62,35.57,26045
"Genesee County, MI",26049.0,4323.0,0.12,28.0,38.15,38.34,3209.99,28.38,11.44,48.17,48.54,4323.0,0.12%,28.0,38.15,38.34,3209.99,28.38,11.44,48.17,48.54,26049
"Ingham County, MI",26065.0,2885.0,0.08,28.96,38.39,38.59,3250.52,28.44,13.28,45.86,42.79,2885.0,0.08%,28.96,38.39,38.59,3250.52,28.44,13.28,45.86,42.79,26065
"Jackson County, MI",26075.0,1654.0,0.05,27.84,38.31,38.53,3260.71,28.71,10.87,43.7,44.42,1654.0,0.05%,27.84,38.31,38.53,3260.71,28.71,10.87,43.7,44.42,26075
"Kalamazoo County, MI",26077.0,2715.0,0.08,29.2,38.54,38.61,3299.81,28.41,10.83,45.0,45.48,2715.0,0.08%,29.2,38.54,38.61,3299.81,28.41,10.83,45.0,45.48,26077
"Kent County, MI",26081.0,8176.0,0.23,29.44,38.3,38.46,3263.35,27.44,16.53,44.57,45.03,8176.0,0.23%,29.44,38.3,38.46,3263.35,27.44,16.53,44.57,45.03,26081
"Livingston County, MI",26093.0,1723.0,0.05,30.8,38.44,38.61,3350.87,26.88,11.62,39.82,42.15,1723.0,0.05%,30.8,38.44,38.61,3350.87,26.88,11.62,39.82,42.15,26093
"Macomb County, MI",26099.0,8628.0,0.24,29.83,38.25,38.28,3238.0,27.97,11.92,47.07,41.98,8628.0,0.24%,29.83,38.25,38.28,3238.0,27.97,11.92,47.07,41.98,26099
"Monroe County, MI",26115.0,1486.0,0.04,28.92,38.31,38.45,3304.68,28.81,12.22,44.52,46.37,1486.0,0.04%,28.92,38.31,38.45,3304.68,28.81,12.22,44.52,46.37,26115
"Muskegon County, MI",26121.0,1821.0,0.05,27.68,38.28,38.49,3236.34,28.87,11.2,46.01,47.13,1821.0,0.05%,27.68,38.28,38.49,3236.34,28.87,11.2,46.01,47.13,26121
"Oakland County, MI",26125.0,12571.0,0.35,30.98,38.4,38.34,3276.22,26.5,12.85,43.39,43.17,12571.0,0.35%,30.98,38.4,38.34,3276.22,26.5,12.85,43.39,43.17,26125
"Ottawa County, MI",26139.0,3099.0,0.09,29.56,38.44,38.58,3353.23,27.26,13.3,42.31,41.21,3099.0,0.09%,29.56,38.44,38.58,3353.23,27.26,13.3,42.31,41.21,26139
"Saginaw County, MI",26145.0,1974.0,0.05,27.87,38.29,38.31,3213.74,29.36,11.42,46.97,43.9,1974.0,0.05%,27.87,38.29,38.31,3213.74,29.36,11.42,46.97,43.9,26145
"St. Clair County, MI",26147.0,1426.0,0.04,28.62,38.35,38.59,3292.17,28.43,11.63,46.76,42.99,1426.0,0.04%,28.62,38.35,38.59,3292.17,28.43,11.63,46.76,42.99,26147
"Washtenaw County, MI",26161.0,3248.0,0.09,31.3,38.43,38.61,3279.51,26.95,10.84,43.77,43.36,3248.0,0.09%,31.3,38.43,38.61,3279.51,26.95,10.84,43.77,43.36,26161
"Wayne County, MI",26163.0,21228.0,0.59,28.89,38.18,38.3,3156.26,28.24,10.9,50.78,44.87,21228.0,0.59%,28.89,38.18,38.3,3156.26,28.24,10.9,50.78,44.87,26163
"Unidentified Counties, MI",26999.0,20039.0,0.56,28.39,38.5,38.69,3321.28,28.24,11.67,44.49,44.47,20039.0,0.56%,28.39,38.5,38.69,3321.28,28.24,11.67,44.49,44.47,26999
"Anoka County, MN",27003.0,4128.0,0.11,30.57,38.55,38.71,3338.66,27.9,11.12,45.83,46.86,4128.0,0.11%,30.57,38.55,38.71,3338.66,27.9,11.12,45.83,46.86,27003
"Dakota County, MN",27037.0,4925.0,0.14,30.89,38.45,38.61,3318.18,27.8,11.63,45.68,46.3,4925.0,0.14%,30.89,38.45,38.61,3318.18,27.8,11.63,45.68,46.3,27037
"Hennepin County, MN",27053.0,14440.0,0.4,31.38,38.53,38.66,3291.34,26.92,11.27,45.13,44.57,14440.0,0.40%,31.38,38.53,38.66,3291.34,26.92,11.27,45.13,44.57,27053
"Olmsted County, MN",27109.0,1950.0,0.05,30.81,38.59,38.64,3324.09,26.8,10.28,45.93,44.12,1950.0,0.05%,30.81,38.59,38.64,3324.09,26.8,10.28,45.93,44.12,27109
"Ramsey County, MN",27123.0,6459.0,0.18,30.25,38.49,38.65,3267.1,27.43,11.3,46.44,46.57,6459.0,0.18%,30.25,38.49,38.65,3267.1,27.43,11.3,46.44,46.57,27123
"St. Louis County, MN",27137.0,1779.0,0.05,29.33,38.51,38.74,3335.45,27.81,11.08,43.78,46.79,1779.0,0.05%,29.33,38.51,38.74,3335.45,27.81,11.08,43.78,46.79,27137
"Scott County, MN",27139.0,1690.0,0.05,30.96,38.51,38.66,3370.23,27.71,11.3,43.65,40.38,1690.0,0.05%,30.96,38.51,38.66,3370.23,27.71,11.3,43.65,40.38,27139
"Stearns County, MN",27145.0,1930.0,0.05,29.32,38.6,38.72,3365.64,28.22,10.98,39.77,48.7,1930.0,0.05%,29.32,38.6,38.72,3365.64,28.22,10.98,39.77,48.7,27145
"Washington County, MN",27163.0,2721.0,0.08,31.27,38.43,38.7,3327.29,27.3,11.81,44.75,41.78,2721.0,0.08%,31.27,38.43,38.7,3327.29,27.3,11.81,44.75,41.78,27163
"Wright County, MN",27171.0,1842.0,0.05,30.23,38.45,38.66,3407.65,27.69,11.0,42.02,40.43,1842.0,0.05%,30.23,38.45,38.66,3407.65,27.69,11.0,42.02,40.43,27171
"Unidentified Counties, MN",27999.0,21256.0,0.59,29.18,38.42,38.62,3355.3,28.58,10.93,43.39,43.51,21256.0,0.59%,29.18,38.42,38.62,3355.3,28.58,10.93,43.39,43.51,27999
"DeSoto County, MS",28033.0,2235.0,0.06,28.28,38.19,38.33,3205.01,28.77,9.9,53.71,41.24,2235.0,0.06%,28.28,38.19,38.33,3205.01,28.77,9.9,53.71,41.24,28033
"Harrison County, MS",28047.0,2403.0,0.07,27.84,38.02,38.24,3171.56,28.58,10.93,53.32,46.63,2403.0,0.07%,27.84,38.02,38.24,3171.56,28.58,10.93,53.32,46.63,28047
"Hinds County, MS",28049.0,2734.0,0.08,27.21,37.7,37.85,3032.03,29.53,11.43,52.32,43.99,2734.0,0.08%,27.21,37.7,37.85,3032.03,29.53,11.43,52.32,43.99,28049
"Jackson County, MS",28059.0,1576.0,0.04,27.61,37.96,38.27,3163.88,28.18,11.26,53.67,44.14,1576.0,0.04%,27.61,37.96,38.27,3163.88,28.18,11.26,53.67,44.14,28059
"Rankin County, MS",28121.0,1699.0,0.05,28.39,37.78,37.94,3167.48,29.08,11.62,51.67,39.81,1699.0,0.05%,28.39,37.78,37.94,3167.48,29.08,11.62,51.67,39.81,28121
"Unidentified Counties, MS",28999.0,24157.0,0.67,26.93,37.87,38.11,3128.64,29.5,11.22,50.08,43.64,24157.0,0.67%,26.93,37.87,38.11,3128.64,29.5,11.22,50.08,43.64,28999
"Boone County, MO",29019.0,1871.0,0.05,29.6,38.24,38.38,3277.32,27.35,10.73,45.18,42.82,1871.0,0.05%,29.6,38.24,38.38,3277.32,27.35,10.73,45.18,42.82,29019
"Clay County, MO",29047.0,2916.0,0.08,29.41,38.29,38.43,3281.73,27.87,11.14,47.07,46.7,2916.0,0.08%,29.41,38.29,38.43,3281.73,27.87,11.14,47.07,46.7,29047
"Franklin County, MO",29071.0,1098.0,0.03,28.36,38.34,38.63,3333.88,28.31,11.39,45.91,50.21,1098.0,0.03%,28.36,38.34,38.63,3333.88,28.31,11.39,45.91,50.21,29071
"Greene County, MO",29077.0,3237.0,0.09,27.91,38.39,38.68,3302.91,27.79,10.93,45.9,41.25,3237.0,0.09%,27.91,38.39,38.68,3302.91,27.79,10.93,45.9,41.25,29077
"Jackson County, MO",29095.0,8306.0,0.23,28.62,38.26,38.35,3207.51,27.92,10.17,48.02,50.56,8306.0,0.23%,28.62,38.26,38.35,3207.51,27.92,10.17,48.02,50.56,29095
"Jasper County, MO",29097.0,1535.0,0.04,26.94,38.04,38.32,3232.41,28.26,10.82,47.44,44.4,1535.0,0.04%,26.94,38.04,38.32,3232.41,28.26,10.82,47.44,44.4,29097
"Jefferson County, MO",29099.0,2390.0,0.07,28.87,38.08,38.3,3280.34,28.24,11.04,45.08,40.95,2390.0,0.07%,28.87,38.08,38.3,3280.34,28.24,11.04,45.08,40.95,29099
"St. Charles County, MO",29183.0,4163.0,0.12,30.43,38.25,38.45,3319.12,27.19,11.57,44.15,40.46,4163.0,0.12%,30.43,38.25,38.45,3319.12,27.19,11.57,44.15,40.46,29183
"St. Louis County, MO",29189.0,10353.0,0.29,30.2,38.15,38.3,3203.12,27.34,11.13,45.87,39.3,10353.0,0.29%,30.2,38.15,38.3,3203.12,27.34,11.13,45.87,39.3,29189
"St. Louis city, MO",29510.0,3648.0,0.1,29.3,38.05,38.2,3110.37,27.56,10.25,46.34,41.27,3648.0,0.10%,29.3,38.05,38.2,3110.37,27.56,10.25,46.34,41.27,29510
"Unidentified Counties, MO",29999.0,28856.0,0.8,27.53,38.28,38.47,3282.72,28.26,10.77,44.82,43.7,28856.0,0.80%,27.53,38.28,38.47,3282.72,28.26,10.77,44.82,43.7,29999
"Missoula County, MT",30063.0,1082.0,0.03,30.25,38.42,38.53,3266.88,26.61,11.68,46.98,56.42,1082.0,0.03%,30.25,38.42,38.53,3266.88,26.61,11.68,46.98,56.42,30063
"Yellowstone County, MT",30111.0,1805.0,0.05,28.92,38.53,38.62,3285.07,27.9,11.06,46.85,52.22,1805.0,0.05%,28.92,38.53,38.62,3285.07,27.9,11.06,46.85,52.22,30111
"Unidentified Counties, MT",30999.0,8162.0,0.23,28.89,38.37,38.5,3258.36,27.21,10.81,44.69,50.26,8162.0,0.23%,28.89,38.37,38.5,3258.36,27.21,10.81,44.69,50.26,30999
"Douglas County, NE",31055.0,7754.0,0.22,29.51,38.14,38.27,3251.21,27.47,11.74,46.96,47.02,7754.0,0.22%,29.51,38.14,38.27,3251.21,27.47,11.74,46.96,47.02,31055
"Lancaster County, NE",31109.0,3700.0,0.1,29.4,38.32,38.51,3324.35,27.04,11.07,44.52,40.19,3700.0,0.10%,29.4,38.32,38.51,3324.35,27.04,11.07,44.52,40.19,31109
"Sarpy County, NE",31153.0,2334.0,0.06,29.65,38.14,38.33,3319.86,27.37,11.79,45.15,40.89,2334.0,0.06%,29.65,38.14,38.33,3319.86,27.37,11.79,45.15,40.89,31153
"Unidentified Counties, NE",31999.0,10325.0,0.29,28.49,38.37,38.52,3314.76,27.92,10.86,44.75,42.67,10325.0,0.29%,28.49,38.37,38.52,3314.76,27.92,10.86,44.75,42.67,31999
"Clark County, NV",32003.0,24908.0,0.69,29.23,38.22,38.46,3190.26,27.22,11.93,54.12,55.14,24908.0,0.69%,29.23,38.22,38.46,3190.26,27.22,11.93,54.12,55.14,32003
"Washoe County, NV",32031.0,4998.0,0.14,29.32,38.33,38.65,3213.06,27.11,9.82,50.45,44.94,4998.0,0.14%,29.32,38.33,38.65,3213.06,27.11,9.82,50.45,44.94,32031
"Unidentified Counties, NV",32999.0,3327.0,0.09,28.24,38.29,38.54,3212.12,28.08,10.08,50.01,48.67,3327.0,0.09%,28.24,38.29,38.54,3212.12,28.08,10.08,50.01,48.67,32999
"Hillsborough County, NH",33011.0,4137.0,0.11,30.35,38.7,38.88,3335.69,27.81,11.38,48.84,42.82,4137.0,0.11%,30.35,38.7,38.88,3335.69,27.81,11.38,48.84,42.82,33011
"Merrimack County, NH",33013.0,1327.0,0.04,30.4,38.71,38.98,3349.36,28.13,12.44,47.09,47.22,1327.0,0.04%,30.4,38.71,38.98,3349.36,28.13,12.44,47.09,47.22,33013
"Rockingham County, NH",33015.0,2843.0,0.08,31.73,38.67,38.84,3351.45,26.95,11.69,43.94,39.12,2843.0,0.08%,31.73,38.67,38.84,3351.45,26.95,11.69,43.94,39.12,33015
"Strafford County, NH",33017.0,1200.0,0.03,30.06,38.68,38.81,3353.18,27.35,10.68,49.44,44.61,1200.0,0.03%,30.06,38.68,38.81,3353.18,27.35,10.68,49.44,44.61,33017
"Unidentified Counties, NH",33999.0,2804.0,0.08,29.65,38.75,38.94,3340.72,27.6,11.78,47.49,42.31,2804.0,0.08%,29.65,38.75,38.94,3340.72,27.6,11.78,47.49,42.31,33999
"Atlantic County, NJ",34001.0,2651.0,0.07,29.61,38.52,38.64,3273.38,28.02,10.47,54.15,57.15,2651.0,0.07%,29.61,38.52,38.64,3273.38,28.02,10.47,54.15,57.15,34001
"Bergen County, NJ",34003.0,9007.0,0.25,32.66,38.42,38.54,3257.97,25.89,11.03,51.59,53.42,9007.0,0.25%,32.66,38.42,38.54,3257.97,25.89,11.03,51.59,53.42,34003
"Burlington County, NJ",34005.0,4560.0,0.13,30.78,38.52,38.68,3302.97,27.97,10.93,49.04,42.1,4560.0,0.13%,30.78,38.52,38.68,3302.97,27.97,10.93,49.04,42.1,34005
"Camden County, NJ",34007.0,6214.0,0.17,30.17,38.43,38.6,3256.31,28.24,10.1,51.37,48.79,6214.0,0.17%,30.17,38.43,38.6,3256.31,28.24,10.1,51.37,48.79,34007
"Cumberland County, NJ",34011.0,1740.0,0.05,27.97,38.26,38.38,3207.21,29.26,9.85,54.92,50.95,1740.0,0.05%,27.97,38.26,38.38,3207.21,29.26,9.85,54.92,50.95,34011
"Essex County, NJ",34013.0,9355.0,0.26,30.85,38.38,38.5,3209.69,27.35,9.48,58.51,54.53,9355.0,0.26%,30.85,38.38,38.5,3209.69,27.35,9.48,58.51,54.53,34013
"Gloucester County, NJ",34015.0,2953.0,0.08,30.87,38.48,38.67,3310.74,28.11,10.66,50.12,46.12,2953.0,0.08%,30.87,38.48,38.67,3310.74,28.11,10.66,50.12,46.12,34015
"Hudson County, NJ",34017.0,8946.0,0.25,31.6,38.44,38.52,3215.56,25.81,10.01,57.89,50.24,8946.0,0.25%,31.6,38.44,38.52,3215.56,25.81,10.01,57.89,50.24,34017
"Hunterdon County, NJ",34019.0,1026.0,0.03,32.53,38.54,38.71,3336.19,26.43,11.44,42.81,47.63,1026.0,0.03%,32.53,38.54,38.71,3336.19,26.43,11.44,42.81,47.63,34019
"Mercer County, NJ",34021.0,4055.0,0.11,30.41,38.48,38.61,3259.98,27.16,10.69,58.7,53.37,4055.0,0.11%,30.41,38.48,38.61,3259.98,27.16,10.69,58.7,53.37,34021
"Middlesex County, NJ",34023.0,8462.0,0.23,31.18,38.46,38.61,3234.01,26.97,10.73,56.99,51.9,8462.0,0.23%,31.18,38.46,38.61,3234.01,26.97,10.73,56.99,51.9,34023
"Monmouth County, NJ",34025.0,6103.0,0.17,32.12,38.58,38.69,3311.09,26.39,11.14,45.87,48.57,6103.0,0.17%,32.12,38.58,38.69,3311.09,26.39,11.14,45.87,48.57,34025
"Morris County, NJ",34027.0,4732.0,0.13,32.65,38.65,38.8,3305.78,25.9,11.11,46.56,47.19,4732.0,0.13%,32.65,38.65,38.8,3305.78,25.9,11.11,46.56,47.19,34027
"Ocean County, NJ",34029.0,10121.0,0.28,29.8,38.81,38.93,3335.58,25.83,10.74,38.73,55.94,10121.0,0.28%,29.8,38.81,38.93,3335.58,25.83,10.74,38.73,55.94,34029
"Passaic County, NJ",34031.0,6166.0,0.17,30.01,38.27,38.4,3220.0,27.36,10.93,57.57,56.37,6166.0,0.17%,30.01,38.27,38.4,3220.0,27.36,10.93,57.57,56.37,34031
"Somerset County, NJ",34035.0,3085.0,0.09,32.19,38.55,38.71,3285.67,26.33,10.74,52.88,50.45,3085.0,0.09%,32.19,38.55,38.71,3285.67,26.33,10.74,52.88,50.45,34035
"Sussex County, NJ",34037.0,1337.0,0.04,31.54,38.59,38.76,3327.38,27.4,11.02,47.3,50.86,1337.0,0.04%,31.54,38.59,38.76,3327.38,27.4,11.02,47.3,50.86,34037
"Union County, NJ",34039.0,6394.0,0.18,31.43,38.52,38.69,3271.66,27.08,10.05,57.18,54.62,6394.0,0.18%,31.43,38.52,38.69,3271.66,27.08,10.05,57.18,54.62,34039
"Warren County, NJ",34041.0,1049.0,0.03,30.88,38.45,38.61,3276.69,27.96,12.17,50.5,46.95,1049.0,0.03%,30.88,38.45,38.61,3276.69,27.96,12.17,50.5,46.95,34041
"Unidentified Counties, NJ",34999.0,1396.0,0.04,29.37,38.54,38.66,3331.32,28.28,10.18,50.06,47.93,1396.0,0.04%,29.37,38.54,38.66,3331.32,28.28,10.18,50.06,47.93,34999
"Bernalillo County, NM",35001.0,6371.0,0.18,29.06,38.33,38.46,3178.02,27.46,9.76,51.8,45.48,6371.0,0.18%,29.06,38.33,38.46,3178.02,27.46,9.76,51.8,45.48,35001
"Dona Ana County, NM",35013.0,2583.0,0.07,27.51,38.28,38.57,3196.9,28.13,10.09,52.71,55.42,2583.0,0.07%,27.51,38.28,38.57,3196.9,28.13,10.09,52.71,55.42,35013
"Sandoval County, NM",35043.0,1278.0,0.04,29.31,38.2,38.33,3180.84,28.05,9.78,50.93,51.58,1278.0,0.04%,29.31,38.2,38.33,3180.84,28.05,9.78,50.93,51.58,35043
"San Juan County, NM",35045.0,1264.0,0.04,27.65,38.44,38.45,3189.02,28.66,9.4,51.98,42.66,1264.0,0.04%,27.65,38.44,38.45,3189.02,28.66,9.4,51.98,42.66,35045
"Santa Fe County, NM",35049.0,1108.0,0.03,29.18,38.35,38.67,3109.38,26.25,11.92,53.92,44.22,1108.0,0.03%,29.18,38.35,38.67,3109.38,26.25,11.92,53.92,44.22,35049
"Unidentified Counties, NM",35999.0,8507.0,0.24,27.4,38.33,38.52,3166.05,28.27,9.83,52.53,50.53,8507.0,0.24%,27.4,38.33,38.52,3166.05,28.27,9.83,52.53,50.53,35999
"Albany County, NY",36001.0,2751.0,0.08,30.77,38.49,38.49,3272.5,28.28,11.74,50.25,46.7,2751.0,0.08%,30.77,38.49,38.49,3272.5,28.28,11.74,50.25,46.7,36001
"Bronx County, NY",36005.0,16966.0,0.47,29.63,38.27,38.28,3164.34,28.04,9.83,64.49,57.83,16966.0,0.47%,29.63,38.27,38.28,3164.34,28.04,9.83,64.49,57.83,36005
"Broome County, NY",36007.0,1835.0,0.05,29.12,38.42,38.56,3265.57,28.62,11.09,49.11,45.13,1835.0,0.05%,29.12,38.42,38.56,3265.57,28.62,11.09,49.11,45.13,36007
"Chautauqua County, NY",36013.0,1189.0,0.03,27.54,38.34,38.58,3256.34,29.67,10.19,44.15,40.3,1189.0,0.03%,27.54,38.34,38.58,3256.34,29.67,10.19,44.15,40.3,36013
"Dutchess County, NY",36027.0,2597.0,0.07,31.3,38.49,38.68,3298.57,28.24,11.31,52.87,59.84,2597.0,0.07%,31.3,38.49,38.68,3298.57,28.24,11.31,52.87,59.84,36027
"Erie County, NY",36029.0,9245.0,0.26,30.04,38.29,38.47,3233.57,28.19,11.14,46.3,49.07,9245.0,0.26%,30.04,38.29,38.47,3233.57,28.19,11.14,46.3,49.07,36029
"Jefferson County, NY",36045.0,1778.0,0.05,27.26,38.42,38.73,3291.89,28.21,10.72,44.03,40.55,1778.0,0.05%,27.26,38.42,38.73,3291.89,28.21,10.72,44.03,40.55,36045
"Kings County, NY",36047.0,33237.0,0.92,30.69,38.62,38.67,3232.02,25.48,10.6,50.08,50.29,33237.0,0.92%,30.69,38.62,38.67,3232.02,25.48,10.6,50.08,50.29,36047
"Monroe County, NY",36055.0,7389.0,0.2,29.98,38.47,38.66,3252.12,28.32,10.28,49.81,41.05,7389.0,0.20%,29.98,38.47,38.66,3252.12,28.32,10.28,49.81,41.05,36055
"Nassau County, NY",36059.0,13978.0,0.39,32.14,38.46,38.57,3245.88,26.41,12.49,51.07,46.73,13978.0,0.39%,32.14,38.46,38.57,3245.88,26.41,12.49,51.07,46.73,36059
"New York County, NY",36061.0,13815.0,0.38,32.83,38.46,38.52,3194.39,24.47,10.63,51.46,40.9,13815.0,0.38%,32.83,38.46,38.52,3194.39,24.47,10.63,51.46,40.9,36061
"Niagara County, NY",36063.0,1930.0,0.05,29.09,38.27,38.41,3257.26,28.95,10.78,46.81,52.54,1930.0,0.05%,29.09,38.27,38.41,3257.26,28.95,10.78,46.81,52.54,36063
"Oneida County, NY",36065.0,2389.0,0.07,28.88,38.34,38.5,3260.71,28.59,11.27,47.66,41.03,2389.0,0.07%,28.88,38.34,38.5,3260.71,28.59,11.27,47.66,41.03,36065
"Onondaga County, NY",36067.0,4800.0,0.13,29.65,38.49,38.67,3270.49,28.4,12.3,49.22,35.88,4800.0,0.13%,29.65,38.49,38.67,3270.49,28.4,12.3,49.22,35.88,36067
"Ontario County, NY",36069.0,956.0,0.03,30.11,38.48,38.7,3324.66,28.19,10.77,46.38,35.58,956.0,0.03%,30.11,38.48,38.7,3324.66,28.19,10.77,46.38,35.58,36069
"Orange County, NY",36071.0,5480.0,0.15,29.96,38.71,38.95,3316.68,27.57,10.31,45.3,64.51,5480.0,0.15%,29.96,38.71,38.95,3316.68,27.57,10.31,45.3,64.51,36071
"Oswego County, NY",36075.0,1114.0,0.03,28.49,38.57,38.85,3301.02,29.73,12.35,46.92,48.03,1114.0,0.03%,28.49,38.57,38.85,3301.02,29.73,12.35,46.92,48.03,36075
"Queens County, NY",36081.0,23441.0,0.65,31.09,38.4,38.48,3190.37,26.09,11.21,60.62,50.38,23441.0,0.65%,31.09,38.4,38.48,3190.37,26.09,11.21,60.62,50.38,36081
"Rensselaer County, NY",36083.0,1441.0,0.04,29.9,38.6,38.59,3306.44,28.49,12.1,50.56,50.83,1441.0,0.04%,29.9,38.6,38.59,3306.44,28.49,12.1,50.56,50.83,36083
"Richmond County, NY",36085.0,5060.0,0.14,31.22,38.37,38.54,3227.08,26.38,12.98,50.88,50.72,5060.0,0.14%,31.22,38.37,38.54,3227.08,26.38,12.98,50.88,50.72,36085
"Rockland County, NY",36087.0,6097.0,0.17,30.09,38.89,39.08,3322.87,26.16,10.67,42.75,56.9,6097.0,0.17%,30.09,38.89,39.08,3322.87,26.16,10.67,42.75,56.9,36087
"St. Lawrence County, NY",36089.0,931.0,0.03,28.25,38.74,38.98,3326.95,30.0,10.87,45.09,44.19,931.0,0.03%,28.25,38.74,38.98,3326.95,30.0,10.87,45.09,44.19,36089
"Saratoga County, NY",36091.0,2048.0,0.06,31.3,38.62,38.72,3357.58,27.94,12.2,47.42,46.11,2048.0,0.06%,31.3,38.62,38.72,3357.58,27.94,12.2,47.42,46.11,36091
"Schenectady County, NY",36093.0,1793.0,0.05,29.8,38.49,38.35,3288.81,29.0,11.23,48.6,44.77,1793.0,0.05%,29.8,38.49,38.35,3288.81,29.0,11.23,48.6,44.77,36093
"Suffolk County, NY",36103.0,15560.0,0.43,31.37,38.41,38.53,3266.16,27.3,11.33,52.79,48.31,15560.0,0.43%,31.37,38.41,38.53,3266.16,27.3,11.33,52.79,48.31,36103
"Tompkins County, NY",36109.0,669.0,0.02,30.91,38.77,38.96,3337.67,26.88,11.79,47.98,47.19,669.0,0.02%,30.91,38.77,38.96,3337.67,26.88,11.79,47.98,47.19,36109
"Ulster County, NY",36111.0,1527.0,0.04,30.67,38.54,38.75,3314.17,28.22,10.55,52.61,59.72,1527.0,0.04%,30.67,38.54,38.75,3314.17,28.22,10.55,52.61,59.72,36111
"Westchester County, NY",36119.0,9794.0,0.27,32.3,38.51,38.59,3260.75,26.48,10.95,53.29,51.17,9794.0,0.27%,32.3,38.51,38.59,3260.75,26.48,10.95,53.29,51.17,36119
"Unidentified Counties, NY",36999.0,16923.0,0.47,29.01,38.62,38.82,3332.73,28.94,11.41,46.37,46.3,16923.0,0.47%,29.01,38.62,38.82,3332.73,28.94,11.41,46.37,46.3,36999
"Alamance County, NC",37001.0,1902.0,0.05,28.8,38.2,38.4,3232.13,29.17,11.24,53.12,48.47,1902.0,0.05%,28.8,38.2,38.4,3232.13,29.17,11.24,53.12,48.47,37001
"Brunswick County, NC",37019.0,1096.0,0.03,28.71,38.3,38.57,3269.25,27.98,11.46,53.54,53.75,1096.0,0.03%,28.71,38.3,38.57,3269.25,27.98,11.46,53.54,53.75,37019
"Buncombe County, NC",37021.0,2400.0,0.07,30.21,38.34,38.73,3242.27,26.35,11.86,51.1,59.08,2400.0,0.07%,30.21,38.34,38.73,3242.27,26.35,11.86,51.1,59.08,37021
"Cabarrus County, NC",37025.0,2650.0,0.07,29.43,38.17,38.41,3226.0,28.35,11.29,50.61,49.7,2650.0,0.07%,29.43,38.17,38.41,3226.0,28.35,11.29,50.61,49.7,37025
"Catawba County, NC",37035.0,1655.0,0.05,28.08,38.26,38.6,3246.79,28.13,12.81,52.33,52.74,1655.0,0.05%,28.08,38.26,38.6,3246.79,28.13,12.81,52.33,52.74,37035
